NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
PROC_LICIT_ABERTURA_RETIFIC;16;PLIC_ExistePrevisaoAdesao;NÃO;COND;Caractere(1);Existe previsão para adesões a ata de registo de preços?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'", quando o conteúdo do campo "PLIC_RegistroPreco" for "'S'".
PROC_LICIT_ABERTURA_RETIFIC;17;PLIC_ExistePrevisaoParticipant;NÃO;COND;Caractere(1);Existe previsão para participantes na ata de registro de preços?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'", quando o conteúdo do campo "PLIC_RegistroPreco" for "'S'".
PROC_LICIT_ABERTURA_RETIFIC;18;PLIC_ValidadeRegistroPreco;NÃO;COND;Caractere(3);Prazo de validade do registro de preço em meses;;01...12;REGRA 1: O conteúdo do campo deverá estar preenchido com "01...12", quando o conteúdo do campo "PLIC_RegistroPreco" for "'S'".
PROC_LICIT_ABERTURA_RETIFIC;19;PLIC_DivulgadaNoPNCP;NÃO;SIM;Caractere(1);Licitação divulgada no PNCP?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'".
PROC_LICIT_ABERTURA_RETIFIC;20;PLIC_Internacional;NÃO;SIM;Caractere(1);Licitação internacional?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'".
PROC_LICIT_ABERTURA_RETIFIC;21;MD_Codigo;NÃO;SIM;Inteiro;Código do modo de disputa;TI.PROC_LICIT_MODO_DISPUTA;0  Não se aplica  1  Aberto  2  Fechado  3  Aberto-Fechado  4  Dispensa Com Disputa;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...5".
PROC_LICIT_ABERTURA_RETIFIC;22;RE_Codigo;NÃO;SIM;Inteiro;Código do regime de execução;TI.PROC_LICIT_REGIME_EXECUCAO;0  Não se aplica (fornecimento de bens/materiais) 1  Empreitada por preço unitário 2  Empreitada por preço global 3  Empreitada integral 4  Contratação por tarefa 5  Contratação integrada 6  Contratação semi-integrada 7  Fornecimento e prestação de;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...7".
PROC_LICIT_ATA_REG_PRECO_ITEM;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. de controle do processo licitatório no Aplic;PROC_LICIT_ATA_REGISTRO_PRECO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_ATA_REG_PRECO_ITEM;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade da licitação;PROC_LICIT_ATA_REGISTRO_PRECO;26...47|01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 14, 15, 19, 20, 21, 24, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72;REGRA 1: O conteúdo do campo deverá estar preenchido com "26...47|'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '12', '13', '14', '15', '19', '20', '21', '24', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72'".
PROC_LICIT_ATA_REG_PRECO_ITEM;3;PLIC_Situacao;SIM;SIM;Inteiro;Situação do processo licitatório;PROC_LICIT_ATA_REGISTRO_PRECO;3...13;REGRA 1: O conteúdo do campo deverá estar preenchido com "3...13".
