NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
LEI;4;LEI_Altera;NÃO;COND;Caractere(1);Esta lei altera uma anterior?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LEI_EsferaOrigem" for o mesmo da esfera de governo do fiscalizado.
LEI;5;LEI_DataAprovacao;NÃO;COND;Caractere(10);Data da aprovação;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LEI_EsferaOrigem" for o mesmo da esfera de governo do fiscalizado.
LEI;6;LEI_DataPublicacao;NÃO;COND;Caractere(10);Data da publicação;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LEI_EsferaOrigem" for o mesmo da esfera de governo do fiscalizado.
LEI;7;LEI_VeicComunicacao;NÃO;COND;Caractere(255);Local da publicação;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LEI_EsferaOrigem" for o mesmo da esfera de governo do fiscalizado.
LEI;8;LEI_NomeArqPDF;NÃO;COND;Caractere(20);Nome do arquivo PDF;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LEI_EsferaOrigem" for o mesmo da esfera de governo do fiscalizado. REGRA 2: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "LEI_AAAAMM_99999.PDF".
LEI_ALTERACAO_PCCS;1;LEI_Numero;SIM;SIM;Caractere(10);Núm. da lei de alteração do PCCS;LEI;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
LEI_ALTERACAO_PCCS;2;LAPCCS_TipoReajusteRemuneracao;SIM;SIM;Inteiro;Tipo do reajuste;TI.TIPO_REAJUSTE_REMUNERACAO;0...5;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...5".
LEI_ALTERACAO_PCCS;3;LAPCCS_QtdeCargosRemuneracao;NÃO;SIM;Inteiro;Quantidade de cargos que houve alteração no valor base da remuneração;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
LEI_ALTERACAO_PCCS;4;LAPCCS_QtdeCargosCriados;NÃO;SIM;Inteiro;Quantidade de cargos criados;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
LEI_ALTERACAO_PCCS;5;LAPCCS_QtdeCargosExtintos;NÃO;SIM;Inteiro;Quantidade de cargos extintos;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
LEI_ALTERACAO_PCCS;6;LAPCCS_QtdeCargosAumentaVaga;NÃO;SIM;Inteiro;Quantidade de cargos que houve aumento de vagas;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
LEI_ALTERACAO_PCCS;7;LAPCCS_QtdeCargosDiminuiVaga;NÃO;SIM;Inteiro;Quantidade de cargos que houve diminuição de vagas;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
LEI_ALTERACAO_PCCS;8;LAPCCS_QtdeCargosNomenclatura;NÃO;SIM;Inteiro;Quantidade de cargos que houve alteração na nomenclatura;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
LEI_ALTERADA;1;LEI_Numero;SIM;SIM;Caractere(10);Núm. da lei que está sendo revogada ou alterada;LEI;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
LEI_ALTERADA;2;LEI_NumeroAltera;SIM;SIM;Caractere(10);Núm. da lei que revoga ou altera a anterior;LEI;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
LEI_ALTERADA;3;LEI_Tipo;NÃO;SIM;Caractere(1);Tipo da lei;;"1" para revogada "2" para alterada;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
ORGAO;1;ORG_Codigo;SIM;SIM;Caractere(2);Cód. do órgão;;;
ORGAO;2;ORG_Nome;NÃO;SIM;Caractere(120);Nome;;;REGRA 1: O conteúdo do campo deverá estar preenchido com "RESERVA DE CONTINGENCIA" quando o conteúdo do campo "ORG_Codigo" for um dos valores "99".
ORGAO_TIPO;1;ORG_Codigo;SIM;SIM;Caractere(2);Cód. do órgão;ORGAO;;
ORGAO_TIPO;2;ORG_Tipo;SIM;SIM;Inteiro;Tipo do órgão;TI.TIPO_ORGAO;1...39;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...39".
PESSOAL;1;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
PESSOAL;2;PESS_Nome;NÃO;SIM;Caractere(60);Nome;;;REGRA 1: O conteúdo do campo não deverá conter palavras como "SEM INFORMACAO", "NAO USAR", etc., e suas variações com acentuação.
PESSOAL;3;PESS_CPF;NÃO;SIM;Caractere(14);CPF;;"999.999.999-99";REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") válido.
PESSOAL;4;PESS_DataNascimento;NÃO;SIM;Caractere(10);Data de nascimento;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PESSOAL;5;PESS_Sexo;NÃO;SIM;Caractere(1);Sexo;;"1" para masculino "2" para feminino;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
PESSOAL;6;PESS_EstadoCivil;NÃO;SIM;Caractere(1);Estado civil;TI.ESTADO_CIVIL;1...6;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...6".
PESSOAL;7;PESS_NomeConjuge;NÃO;COND;Caractere(60);Nome do(a) cônjuge;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "PESS_EstadoCivil" for "'2', '6'".
PESSOAL;8;PESS_CPFConjuge;NÃO;COND;Caractere(14);CPF do(a) cônjuge;;"999.999.999-99";REGRA 1: O conteúdo do campo deverá estar preenchido se o conteúdo do campo "PESS_EstadoCivil" for "'2', '6'". REGRA 2: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") válido.
PESSOAL;9;PESS_NomeMae;NÃO;SIM;Caractere(60);Nome da mãe;;;REGRA 1: O conteúdo do campo não deverá conter palavras como "SEM INFORMACAO", "NAO USAR", etc., e suas variações com acentuação.
PESSOAL;10;PESS_CPFMae;NÃO;COND;Caractere(14);CPF da mãe;;"999.999.999-99";REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") válido.
PESSOAL;11;PESS_NomePai;NÃO;COND;Caractere(60);Nome do pai;;;
PESSOAL;12;PESS_CPFPai;NÃO;COND;Caractere(14);CPF do pai;;"999.999.999-99";REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") válido caso o conteúdo do campo "PESS_NomePai" seja diferente de "NÃO CONSTA".
PESSOAL;13;TESC_Codigo;NÃO;SIM;Inteiro;Cód. do tipo da escolaridade;TI.TIPO_ESCOLARIDADE;1...8;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...8".
PESSOAL;14;PESS_NumeroPISPASEP;NÃO;SIM;Caractere(14);Núm. do PIS/PASEP;;;
PESSOAL;15;PESS_PNE;NÃO;SIM;Caractere(1);É pessoa com deficiência (PCD)?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'".
PESSOAL;16;PESS_CelFone;NÃO;NÃO;Caractere(20);Núm. do celular;;;REGRA 1: O conteúdo do campo deverá conter um número de TELEFONE ou CELULAR válido nos formatos "(99)9999-9999", "(999)9999-9999", "(99)99999-9999", ou "(999)99999-9999".
PESSOAL;17;PESS_Email;NÃO;NÃO;Caractere(70);E-mail;;;REGRA 1: O conteúdo do campo deverá conter um e-mail válido, se o campo for opcional, deixar vazio, se houver mais de um e-mail separar por "/" (barra).
PESSOAL_APROVADO_CONCURSO;1;CONC_Numero;SIM;SIM;Caractere(16);Núm. do concurso;APROVADO_CONCURSO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_APROVADO_CONCURSO;2;CONC_Tipo;SIM;SIM;Inteiro;Tipo do concurso;APROVADO_CONCURSO;1...6;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...6".
PESSOAL_APROVADO_CONCURSO;3;CONCS_Situacao;SIM;SIM;Inteiro;Situação do concurso (demais situações);APROVADO_CONCURSO;1...9;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...9".
PESSOAL_APROVADO_CONCURSO;4;CONCS_DataSituacao;SIM;SIM;Caractere(10);Data da situação do concurso (demais situações);APROVADO_CONCURSO;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PESSOAL_APROVADO_CONCURSO;5;CONCAR_Situacao;SIM;SIM;Inteiro;Situação do concurso (abertura e retificação);APROVADO_CONCURSO;1...2;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
PESSOAL_APROVADO_CONCURSO;6;CONCAR_Data;SIM;SIM;Caractere(10);Data da situação do concurso (abertura e retificação);APROVADO_CONCURSO;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PESSOAL_APROVADO_CONCURSO;7;CFPESS_Codigo;SIM;SIM;Caractere(7);Cód. do cargo/função pessoal;APROVADO_CONCURSO;"1" ou "2" ou formatado como "9999.99" (NRO);REGRA 1: O conteúdo do campo deverá estar de acordo com o Classificação Brasileira de Ocupações (CBO), deverá ser "1" ou "2" ou formatado como "9999.99"'.
PESSOAL_APROVADO_CONCURSO;8;CFPESSUG_Codigo;SIM;SIM;Caractere(10);Cód. do cargo;APROVADO_CONCURSO;;
PESSOAL_APROVADO_CONCURSO;9;CFPESSUG_JornadaTrabalho;SIM;SIM;Caractere(2);Jornada de trabalho semanal em horas;APROVADO_CONCURSO;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PESSOAL_APROVADO_CONCURSO;10;CFPESSUGP_NumSequencial;SIM;SIM;Inteiro;Núm. sequencial das especialidades ou região;APROVADO_CONCURSO;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
PESSOAL_APROVADO_CONCURSO;11;APCONC_CPF;SIM;SIM;Caractere(14);CPF do aprovado;APROVADO_CONCURSO;"999.999.999-99";REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") válido.
PESSOAL_APROVADO_CONCURSO;12;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
PESSOAL_CONTRATO_EFETIVADO;1;CONTP_Numero;SIM;SIM;Caractere(16);Núm. do contrato;PESSOAL_CONTRATO_PTEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_EFETIVADO;2;CONTP_NumAditivo;SIM;SIM;Caractere(16);Núm. do aditivo do contrato de pessoal;PESSOAL_CONTRATO_PTEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_EFETIVADO;3;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL_CONTRATO_PTEMPORARIO;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
PESSOAL_CONTRATO_EFETIVADO;4;CONTE_DataEfetivacao;NÃO;SIM;Caractere(10);Data da efetivação;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_EFETIVADO;5;CONTE_RegimePrevidencia;NÃO;SIM;Inteiro;Regime de previdência;TI.TIPO_PREVIDENCIA;1...2;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
PESSOAL_CONTRATO_EFETIVADO;6;CONTE_NumProtocoloTCE;NÃO;SIM;Caractere(16);Núm. do protocolo TCE-MT;;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_EFETIVADO;7;CONTE_NomeArqPDF;NÃO;SIM;Caractere(22);Nome do arquivo PDF;;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "CONTE_AAAAMM_99999.PDF".
PESSOAL_CONTRATO_PTEMP_DOCUMEN;1;CONTP_Numero;SIM;SIM;Caractere(16);Núm. do contrato;PESSOAL_CONTRATO_PTEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_PTEMP_DOCUMEN;2;CONTP_NumAditivo;SIM;SIM;Caractere(16);Núm. do aditivo do contrato de pessoal;PESSOAL_CONTRATO_PTEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_PTEMP_DOCUMEN;3;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL_CONTRATO_PTEMPORARIO;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
PESSOAL_CONTRATO_PTEMP_DOCUMEN;4;TPDOC_Codigo;NÃO;SIM;Inteiro;Cód. do tipo da publicação;TI.TIPO_PUBLICACAO_DOCUMENTO;1...7;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...7".
PESSOAL_CONTRATO_PTEMP_DOCUMEN;5;PCPD_DataPublicacao;NÃO;SIM;Caractere(10);Data da publicação;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PESSOAL_CONTRATO_PTEMP_DOCUMEN;6;PCPD_NumDiario;NÃO;SIM;Caractere(10);Núm. do diário oficial da publicação;;;
PESSOAL_CONTRATO_PTEMP_DOCUMEN;7;PCPD_Pagina;NÃO;SIM;Inteiro;Núm. da página inicial no diário;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PESSOAL_CONTRATO_PTEMP_DOCUMEN;8;PCPD_PaginaFinal;NÃO;SIM;Inteiro;Núm. da página final no diário;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório. REGRA 2: O conteúdo do campo deverá conter um valor MAIOR ou IGUAL ao conteúdo do campo "PCPD_Pagina".
PESSOAL_CONTRATO_PTEMPORARIO;1;CONTP_Numero;SIM;SIM;Caractere(16);Núm. do contrato;CONTRATO_PESSOAL_TEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_PTEMPORARIO;2;CONTP_NumAditivo;SIM;SIM;Caractere(16);Núm. do aditivo do contrato de pessoal;CONTRATO_PESSOAL_TEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_CONTRATO_PTEMPORARIO;3;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
PESSOAL_DESCONTO_FOLHA_PAGTO;1;ORG_Codigo;SIM;SIM;Caractere(2);Cód. do órgão;PESSOAL_FOLHA_PAGAMENTO;;
PESSOAL_DESCONTO_FOLHA_PAGTO;2;UNOR_Codigo;SIM;SIM;Caractere(3);Cód. da unidade orçamentária;PESSOAL_FOLHA_PAGAMENTO;;
PESSOAL_DESCONTO_FOLHA_PAGTO;3;FPGTO_AnoReferencia;SIM;SIM;Caractere(4);Ano de referência;PESSOAL_FOLHA_PAGAMENTO;"9999" (NRO);REGRA 1: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
PESSOAL_DESCONTO_FOLHA_PAGTO;4;FPGTO_MesReferencia;SIM;SIM;Caractere(2);Mês de referência;PESSOAL_FOLHA_PAGAMENTO;"99" (NRO);REGRA 1: O conteúdo do campo deverá estar preenchido com "01...12". REGRA 2: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério "<= MÊS" (ver regra d).
PESSOAL_DESCONTO_FOLHA_PAGTO;5;FPGTO_NumFolhaPagto;SIM;SIM;Inteiro;Núm. sequencial;PESSOAL_FOLHA_PAGAMENTO;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PESSOAL_DESCONTO_FOLHA_PAGTO;6;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL_FOLHA_PAGAMENTO;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
PESSOAL_DESCONTO_FOLHA_PAGTO;7;TDBG_Codigo;SIM;SIM;Inteiro;Cód. do tipo do desconto, benefício ou gratificação;TI.TIPO_DESC_BENEF_GRATIF;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
PESSOAL_DESCONTO_FOLHA_PAGTO;8;PDFP_Valor;NÃO;SIM;Caractere(14,2);Valor;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PESSOAL_DESCONTO_FOLHA_PAGTO;9;TDBG_Outro;NÃO;COND;Caractere(50);Outro tipo de desconto, benefício ou gratificação;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "TDBG_Codigo" for "'98', '99'".
PESSOAL_DOCUMENTO;1;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
PESSOAL_DOCUMENTO;2;PESSDOC_Tipo;SIM;SIM;Inteiro;Tipo do documento;TI.PESSOAL_TIPO_DOCUMENTO;1...17;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...17".
PESSOAL_DOCUMENTO;3;PESSDOC_NumSequencial;SIM;SIM;Inteiro;Núm. sequencial do documento;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PESSOAL_DOCUMENTO;4;CONTP_Numero;NÃO;NÃO;Caractere(16);Núm. do contrato;PESSOAL_CONTRATO_PTEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_DOCUMENTO;5;CONTP_NumAditivo;NÃO;NÃO;Caractere(16);Núm. do aditivo do contrato de pessoal;PESSOAL_CONTRATO_PTEMPORARIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PESSOAL_DOCUMENTO;6;PESSDOC_NomeArqPDF;NÃO;SIM;Caractere(24);Nome do arquivo PDF;;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "PESSDOC_AAAAMM_99999.PDF".
